Tickets,Category,Priority,Complaint_Group
Second Protest regarding Ticket ID: 20260131000040 – Reporting new unauthorized proxy appearances and technical mismanagement.,Bug,P1 - High,Fix
KFC ORDER RELATED,Information Only,P3 - Low,Information
cannot view the download buttun,Bug,P1 - High,Fix
I CAN NOT CHANGE THE MOBILE NUMBER RELATEDIAM,Service Request,P2 - Medium,Update Info
APPLICATION SEEKING PERMISSION FOR APPEARANCE THROUGH VIDEO CONFERENCING,Administrative,P1 - High,Hearing / VC Requests
cant see applicants documents for file reply,Information Only,P3 - Low,Information
Skoda Auto India : BR02BN7826 : Skoda Kushaq,Information Only,P3 - Low,Information
To delete at the Draft Stage,Information Only,P3 - Low,Information
Request for Status update - Filing Ref No 202601121152 - Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
light bill related MSEDCL company Maharashtra state,Information Only,P3 - Low,Information
Application Not Allowing Upload of Documents after Revert,Bug,P1 - High,Fix
Complaint Regarding Incorrect Electricity Billing for Unused Flat,Information Only,P3 - Low,Information
not able to reply on revert cases,Information Only,P3 - Low,Information
Ticket ID: 20260225000010,Information Only,P3 - Low,Information
Unable to check the document uploaded by the court,Bug,P1 - High,Fix
My case add option not available,Information Only,P3 - Low,Information
correction in complaint reference no-202512280248,Information Only,P3 - Low,Information
Issue regarding missing 'Document Upload' option for Reverted Case (Filling Ref No: 202601140465),Bug,P1 - High,Fix
NEW RATION CARD APPLICATION RELATED,Information Only,P3 - Low,Information
Insurance claim redressal,Information Only,P3 - Low,Information
Case Reference no 202602220377 is still not been scrutinized and is with pending status,Information Only,P3 - Low,Information
Case not found,Information Only,P3 - Low,Information
Online order not delivered by Fliptwirls platform,Information Only,P3 - Low,Information
Unable to Download Uploaded Documents – Complaint Ref No. 202601300175,Bug,P1 - High,Fix
Case Reference Number: 202601051695 dated 14th Jan 2026,Information Only,P3 - Low,Information
Problem in efiling of a transfer application,Information Only,P3 - Low,Information
90 days and my case is still under scrutiny?,Administrative,P2 - Medium,Scrutiny Delay
option is not available to upload document,Bug,P1 - High,Fix
Request for Status Update – Consumer Complaint Ref. No. 202601051436 Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Last 4 months pending case,Information Only,P3 - Low,Information
Regarding:- Request for refund booking amount of Rs. 1000/- (One thousand) rupees related with the Jio Broadband.,Incident,P3 - Low,Complaint
RE: DOCUMENT DOWNLOAD,Bug,P1 - High,Fix
I cannt find List of documents uploaded.,Bug,P1 - High,Fix
Request for Correction of Name,Service Request,P2 - Medium,Update Info
Be please to Correct the Parties Name Appellants and respondents Names Add properly details,Service Request,P2 - Medium,Update Info
"Complaint for Non-Delivery of Products, Refund Claim, and Compensation for Deficiency in Service against Moongoddess Couture, Ernakulam",Incident,P3 - Low,Complaint
Regarding Reversion of Case No. 202602280861 on e-Jagriti Portal,Bug,P1 - High,Fix
Urgent: Return Request for Damaged/Non-Working Order #Neuracare14472,Incident,P3 - Low,Complaint
unable to add Decree holder and Judgment debtor Details without adding Advocate details,Service Request,P2 - Medium,Update Info
My case pending from last two months,Information Only,P3 - Low,Information
NOT GETTING CASE NUMBER,Administrative,P2 - Medium,Scrutiny Delay
i am trying to file the appeal but not being permitted,Information Only,P3 - Low,Information
Deficiency in Service and Claim for Compensation – Sunflame Induction Cooktop,Incident,P3 - Low,Complaint
i complaint many time watch is in warrenty but its in warrenty company changed 1 time and again getting problam i complaint national consumer portal and 1 month cross not solved,Administrative,P2 - Medium,Information
deleting case from draft,Information Only,P3 - Low,Information
Regarding change of all documents,Information Only,P3 - Low,Information
No action on complaint and stats online is also not as per original stats,Information Only,P3 - Low,Information
202603040773,Information Only,P3 - Low,Information
Waiting for Hearing Date,Administrative,P1 - High,Update Info
Case not moved to next stage after 20 days,Information Only,P3 - Low,Information
Can not file First Appeal,Information Only,P3 - Low,Information
Wrong product delivered by Tata CLiQ – Refund not provided,Incident,P3 - Low,Complaint
Online fraud,Incident,P3 - Low,Complaint
Request for Status Update – Case Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Unable to make online payment,Incident,P3 - Low,Complaint
Not able to open my case CC/36/2025,Information Only,P3 - Low,Information
issue regarding non shown of attached documents with the Complaint on online ejagrati platform,Information Only,P3 - Low,Information
Request for Clarification and Re-Submission Guidance for Reverted Complaint,Administrative,P2 - Medium,Scrutiny Delay
DC/85/CC/591/2025 JUDGMENT NOT UPLOADED,Bug,P1 - High,Fix
"ue to a clerical mistake, certain details in the complaint filed by me were mentioned incorrectly",Information Only,P3 - Low,Information
Deletion of un numbered cases,Information Only,P3 - Low,Information
Update mobile number,Service Request,P2 - Medium,Update Info
Request to share the procedure to change the jurisdiction of the case filed.,Information Only,P3 - Low,Information
Jayalakshmi Jewellers and Ambika Jewellers cheated by giving cheques,Information Only,P3 - Low,Information
Court Fee,Incident,P3 - Low,Payment Issues
Complaint against Mahajan tyres Kathua for not replacing my tyre since last 4 months,Information Only,P3 - Low,Information
Issue Not Resolved – Complaint Still Pending for Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Request for Status Update – Consumer Complaint Ref No. 202512180958,Administrative,P2 - Medium,Scrutiny Delay
Pending for Scrutiny for nearly 2 years Complaint Ref No: 202501070071,Administrative,P2 - Medium,Scrutiny Delay
Reference /Dairy number showing pending for scrutiny from 19-11-2025,Administrative,P2 - Medium,Scrutiny Delay
Document not visible,Bug,P1 - High,Fix
Illegal Repossession of WB75D5589 - Loan A/c TCFTW0543000013034880,Bug,P1 - High,Fix
Complaint Pending for Scrutiny – Case No. 202508080633,Administrative,P2 - Medium,Scrutiny Delay
UNDER ORDER XXIR 10CIVIL PROCEDURE COD,Information Only,P3 - Low,Information
issues with logged In Version.,Information Only,P3 - Low,Information
Application pending for scrutiny for lon time ref: 202512191122,Administrative,P2 - Medium,Scrutiny Delay
Complaint against Burger king,Information Only,P3 - Low,Information
COULD NOT OPEN FILED COMPLAINT LIST,Information Only,P3 - Low,Information
payment done but case number not generated for reference number 202602050372,Incident,P3 - Low,Complaint
Not able to add details,Information Only,P3 - Low,Information
Case status of DC/363/CC/78/2023,Information Only,P3 - Low,Information
Wanna change the mobile no for my complaint created by my counsil who was discharged from my case (DC/589/CC/89/2025).,Information Only,P3 - Low,Information
Case pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Delete Reverted Application,Administrative,P2 - Medium,Scrutiny Delay
Where can I download these documents that I need to fill to file a case,Bug,P1 - High,Fix
Unable to file Appeal before the State Commission,Information Only,P3 - Low,Information
Myntra case filing,Incident,P3 - Low,Complaint
WIthdraw my Complaint,Administrative,P3 - Low,Administrative
Subject: Complaint against Indane – Brindavan Gas Agency for Wrong Billing and Unfair Trade Practice,Incident,P3 - Low,Complaint
There must be a tab showing subsequent filing/rejoinder/any thing filed by an advocate,Service Request,P2 - Medium,Update Info
whirlpool refrigerator burn,Incident,P3 - Low,Complaint
reopen status for the case,Incident,P3 - Low,Complaint
Unreasonable Delay in Vehicle Release and Reimbursement by Zoomcar,Information Only,P3 - Low,Information
Request to Process Case – Pending Scrutiny (Filing Reference No: 202602100478),Administrative,P2 - Medium,Scrutiny Delay
Revert of Case Again and Again,Administrative,P2 - Medium,Administrative
"Complaint against Utkarsh Classes for violation of Consumer Protection Act, 2019 – Fraudulent misrepresentation of educational course materials.",Incident,P3 - Low,Complaint
Case showing as pending for scuriny,Information Only,P3 - Low,Scrutiny Delay
Want to know ticket status 202512250290,Information Only,P3 - Low,Information
pending for scrutiny-202602170501,Administrative,P2 - Medium,Scrutiny Delay
I have not been able to download judgement from the portal,Bug,P1 - High,Fix
Drafts not getting deleted,Information Only,P3 - Low,Information
Filing Advocate left the case,Service Request,P2 - Medium,Update Info
"Complaint under Consumer Protection Act, 2019 against Alt Life (Upper Bhagsu) for unfair forfeiture of ?28,800 despite humanitarian grounds and prior intimation",Information Only,P3 - Low,Information
Complaint against JioMart regarding False Advertising and Non-Delivery of Orders,Incident,P3 - Low,Complaint
Registration of First Appeal – Consumer Complaint No. 694/2018,Information Only,P3 - Low,Information
SC/33/FA/107/2026 case documents not available to access for me party in person,Information Only,P3 - Low,Information
Water purifier purchased from eureka Forbes Limited is not working since beginning,Information Only,P3 - Low,Information
Payment not taken,Incident,P1 - High,Payment Issues
Formal Complaint Against Ola Electric for Deficiency in Service (Reg: TN29CV6473),Information Only,P3 - Low,Information
Next Hearing Date not updated in e-Jagriti portal,Bug,P1 - High,Fix
Case pending for scrutiny since 3 months,Administrative,P2 - Medium,Scrutiny Delay
Rapido bike taxi fraud,Incident,P3 - Low,Complaint
file uploading not show,Bug,P1 - High,Fix
"Complaint against Airtel for Unfair Trade Practice, Fraudulent Misrepresentation, and Deficient Service regarding 5G Connectivity.",Incident,P3 - Low,Complaint
Misleading Free Trial – ?1999 deducted from Google Play without notice,Incident,P3 - Low,Complaint
FILED CASE NOT SHOWING,Bug,P1 - High,Fix
IA filing option not visible in portal – Case No. SC/CB4/27/CC/16/2026,Bug,P1 - High,Fix
Case pending for scrutiny for long time – Filing Reference No. 202512171591,Administrative,P2 - Medium,Scrutiny Delay
Request for Hearing Location and Time – Case No. DC/438/CC/143/2026,Administrative,P2 - Medium,Scrutiny Delay
"RE: DOCUMENT NOW SHOWING AFTER COMPLETED THE CONSUMER COMPLAINT, FIRST APPEAL ETC",Information Only,P3 - Low,Information
Payment done but Case number has not been alloted,Incident,P3 - Low,Complaint
Again & again asking the Address one deatils,Information Only,P3 - Low,Information
"Serious Complaint Against Tata CLiQ for Wrong Product Delivery, Fraudulent Refund Denial and Deficiency in Service",Incident,P3 - Low,Complaint
Regarding Deficiency in customer service and unfair trade practice by vlebazaar.in,Information Only,P3 - Low,Information
Mobile warranty,Information Only,P3 - Low,Information
Fraud by shopkeeper,Incident,P3 - Low,Complaint
Reflection of the money Deposited as a Fee or Refund for fresh payment.,Incident,P3 - Low,Complaint
Subsequent Filing not visible on portal (Reference ID: 20260003968),Bug,P1 - High,Fix
Missing "Documents" Section under Update Case – Filing Ref No: 202601140465,Information Only,P3 - Low,Information
unable to pay fees,Information Only,P3 - Low,Information
unable to get case status,Information Only,P3 - Low,Information
Regarding to defective air conditioner by Mitsubishi Electric,Incident,P3 - Low,Complaint
Subject: Issue in uploading documents for consumer complaint,Bug,P1 - High,Fix
District consumer Court Hyderabad,Information Only,P3 - Low,Information
My mobile number and email id not showing while filing,Service Request,P2 - Medium,Update Info
Cant Change Paid Consideration amount,Information Only,P3 - Low,Information
complaint No. 8600184 -- Post office deducted 2L-,Incident,P3 - Low,Complaint
Payment of Court Fees has been made but CC is not generated,Incident,P3 - Low,Complaint
Reply filed but not displayed to DCDRC Gandhinagar Dashboard,Bug,P1 - High,Fix
unable upload subsequent foling,Bug,P1 - High,Fix
Application for Condonation of delay,Information Only,P3 - Low,Information
"On Jan 6th, 2025, the company promised a refund for Order #3204174 via the NCH portal but has failed to provide a Transaction ID or the money.",Incident,P3 - Low,Complaint
change of jurisdiction,Information Only,P3 - Low,Information
My case not updated in new portal,Bug,P1 - High,Fix
For not attending warranty conditions,Information Only,P3 - Low,Information
Error While Filling Appeal,Bug,P1 - High,Fix
cases are not getting deleted from draft section,Information Only,P3 - Low,Information
For Approval of filing,Administrative,P2 - Medium,Scrutiny Delay
subsequent filing is not visible after attaching additional document,Bug,P1 - High,Fix
Ola service not provided service many customers has problam,Information Only,P3 - Low,Information
For account deduction my amount,Information Only,P3 - Low,Information
Misselling and cheating By park royal private limited,Information Only,P3 - Low,Information
NAME OF ADVOCATE IS HARI KANT INSTED OF UTTAR PRADESH,Service Request,P2 - Medium,Update Info
Delay in Case Filing,Information Only,P3 - Low,Information
BLINKIT / Received empty box,Information Only,P3 - Low,Information
jagriti portal allready mention financial froud and online scam option WHY MY CASE NOT TAKE SERIOUESLY AND DISMISED AND DISPOSED OF WITH OUT RESOLUTION AND KILLING JUSTICE SYESTEAM,Bug,P1 - High,Fix
Include my case into DASHBoard - SC/36/A/763/2023,Bug,P1 - High,Fix
Daily Order,Information Only,P3 - Low,Information
Subject: "Request for Adjournment / Exemption from Physical Appearance - Case DC/CC/1/2026 Hearing on 13 03 2026,Administrative,P1 - High,Administrative
"Complaint under Consumer Protection Act, 2019 against Alt Life (Upper Bhagsu) for unfair forfeiture of ?28,800 despite humanitarian grounds and prior intimation",Information Only,P3 - Low,Information
I have not received the refund promised,Incident,P3 - Low,Complaint
name and ID not connecting in adding advocate for any uploading on my name SAGI Sridhar Narasimha Kumar,Service Request,P2 - Medium,Update Info
Make Mobile App like ECourt,Information Only,P3 - Low,Information
E-jagriti - find case Details-,Information Only,P3 - Low,Information
Error occurred in Hearing Date,Bug,P1 - High,Fix
Online order not yet delivered,Information Only,P3 - Low,Information
Why FA cannot be filed against review application,Information Only,P3 - Low,Information
Subsequent filling detailed not showing,Bug,P1 - High,Fix
Updated invoice not provided by Flipkart and also extended warranty policy document not provided. They are no able to understand the query over the call,Information Only,P3 - Low,Information
search options,Information Only,P3 - Low,Information
Subsequent filing of Vakalthnama not reflecting in the e - jagriti portal,Bug,P1 - High,Fix
DISTRICT FORAM KACHCHH GUJARAT CASE NO CC/55/2019 NOT FOUND .,Information Only,P3 - Low,Information
Scruitny timing,Administrative,P3 - Low,Information
ISSUE REGARDING CASE STATUS OR HISTORY,Information Only,P3 - Low,Information
Applicqation reverted,Administrative,P2 - Medium,Administrative
Wrong power bill correction regarding,Information Only,P3 - Low,Information
Online Portal Not Showing Case Status Update – Case No. SC/21/637/2025,Administrative,P1 - High,Update Info
unable to delete the draft.,Service Request,P2 - Medium,Delete Blocked
Hearing date of DC/AB1/303/CC/174/2025 pending and date not given,Administrative,P1 - High,Update Info
Unable to view/download filed documents – Ref No: 202603140248,Bug,P1 - High,Fix
complant open nhi ho rahi hai,Information Only,P3 - Low,Information
FILING ISSUE,Information Only,P3 - Low,Information
UNABLE TO FILE APPEAL FOR WANT OF DISTRICT COMMISSION RECORD,Information Only,P3 - Low,Information
Payment of Court Fee,Incident,P3 - Low,Complaint
fees payamaent paid but system not show then again paid payment by me,Incident,P3 - Low,Complaint
E commerce site flipkart return and refund related,Incident,P3 - Low,Complaint
Delay in scrutiny of consumer complaint filed through e-Daakhil - Filling Reference Number 202602251806,Administrative,P2 - Medium,Scrutiny Delay
Purchased a sofa but damaged after few days,Incident,P3 - Low,Complaint
Issue in Deleting the Draft cases,Information Only,P3 - Low,Information
Delivery and refund related issue,Incident,P3 - Low,Complaint
Complaint regarding treadmill,Information Only,P3 - Low,Information
old case could not be tracked and filing could not proceed further,Information Only,P3 - Low,Information
pending payment is still showing in the RE nO. 202602160838 BHAVENDRA TRIPATHI VS DMI HOUSESING FINANCE PVT LTD,Incident,P3 - Low,Complaint
couldn't upload documents,Bug,P1 - High,Fix
"With out the main respondant consent, case has been hearing for 13.03.2026 where as all the connected case papers were with drawn and the disposal coloumn it was disposed",Administrative,P2 - Medium,Scrutiny Delay
Unable to attend meeting through the webex,Information Only,P3 - Low,Information
Pending scuitiny of the case in 202602071026,Information Only,P3 - Low,Information
Provide District Mumbai central forum contact numbers due to contact filling number 202602071026,Information Only,P3 - Low,Information
SC/7/CC/44/2023 Unable to file rejoinder evidence on behalf of Complainant,Information Only,P3 - Low,Information
Couldn't add respondent case to my dashboard,Bug,P1 - High,Fix
Complaint regarding wrong mobile recharge and refusal of refund,Incident,P3 - Low,Complaint
Transfer of Case,Information Only,P3 - Low,Information
Error in filing Revision Petition,Bug,P1 - High,Fix
Case is stuck in "Pending for Scruitny " stage,Information Only,P3 - Low,Scrutiny Delay
Non working of Court Master Since 13/03/2026 of DCDRC Gadag-582101 Karanataka (DC/537).,Information Only,P3 - Low,Information
Not showing filed history,Bug,P1 - High,Fix
This portal has not avail the provision to get the copies of the cases pending for the Respondents,Bug,P1 - High,Fix
Can not view documents uploaded online ejagriti website,Bug,P1 - High,Fix
Regarding efilling of application under Order XXI Rule 41 r,Incident,P3 - Low,Information
Insurance Claim Deduction and Mis-selling of Policy – Care Supreme Policy No. 69969051,Incident,P3 - Low,Information
to Change the phone number,Service Request,P2 - Medium,Update Info
Application pending for scrutiny since 20 Jan 2026 – Request for update,Administrative,P2 - Medium,Scrutiny Delay
subsequent filing not on record,Information Only,P3 - Low,Information
Documents filed,Information Only,P3 - Low,Information
Amount refund,Incident,P3 - Low,Complaint
CAse status cannot be found with party name as the option not available,Information Only,P3 - Low,Information
4th complaint as to payment,Incident,P3 - Low,Complaint
Reply summit not show,Information Only,P3 - Low,Information
unable to download the complete file of any case,Bug,P1 - High,Fix
Regarding non refunding of cancelled order,Incident,P3 - Low,Complaint
Case is not solved,Information Only,P3 - Low,Information
Add main party or Main Respndent instructing but after adding no further processing simply alerting add main Petitioner or Main Respondent,Service Request,P2 - Medium,Update Info
Request for status of notice service in Case No DC/AB1/525/CC/59/2026,Information Only,P3 - Low,Information
Complaint regarding non-updation of case number on e-Jagriti portal,Bug,P1 - High,Fix
Not able to upload file,Bug,P1 - High,Fix
Request for order copy - SC/32/FA/18/2026,Information Only,P3 - Low,Information
Unable to access new case filing,Information Only,P3 - Low,Information
Cant acess uploaded documents,Bug,P1 - High,Fix
Issue Closed Without Responding or Resolving the Matter,Information Only,P3 - Low,Information
System for advance intimation of hearing date change required,Administrative,P1 - High,Update Info
"I ordered a product from the mesho online shopping app on February 25th, but today, March 18th, I still haven't received it.Apps like this are used to save time and get products at a lower price, but now it is causing the customer to lose money.",Incident,P3 - Low,Complaint
Complaint regarding deficiency in banking service and claim compensation against Kotak Mahindra Bank,Incident,P3 - Low,Complaint
Its almost a month and my case is still in pending and scrutiny,Administrative,P2 - Medium,Scrutiny Delay
please update date of cause of action 30-10-2025 -reference no. 202511120390,Information Only,P3 - Low,Information
Appeal against order in execution application,Information Only,P3 - Low,Information
"Complaint Regarding Misconduct, Denial of Legal Assistance, and Violation of Constitutional Rights at District Consumer Disputes Redressal Forum Mohali Phase 2",Information Only,P3 - Low,Information
To add me as an Respondent Advocate in EA/2/2025,Service Request,P2 - Medium,Update Info
FRAUD FROM SIWGGY,Incident,P3 - Low,Complaint
Network error,Bug,P1 - High,Fix
Fraud and mental harassment done by FIREBOLTT company.,Incident,P3 - Low,Complaint
Application for payment failure of filing fees,Incident,P3 - Low,Complaint
Regarding 202602100804 - pending for security since long,Administrative,P2 - Medium,Scrutiny Delay
Amount deducted but receipt not received,Incident,P1 - High,Payment Issues
Final Notice: Booking No. KLZL220226/A – Pending Refunds Since January,Incident,P3 - Low,Complaint
Regarding- EA /2/2025- Unable to View or Download the Documents filed by the Complainant in the Case,Bug,P1 - High,Fix
Request for Timely Updates – Case No. DC/82/CC/1244/2025,Administrative,P2 - Medium,Update Info
Draft deleting,Service Request,P2 - Medium,Delete Blocked
Case not varified,Administrative,P2 - Medium,Scrutiny Delay
Wrong Product Delivered,Incident,P3 - Low,Complaint
BSNL Charging Hidden fees during broadband installation without Bill,Incident,P3 - Low,Complaint
Compensation for false claims and extra charge of money for Rajasthan trip,Incident,P3 - Low,Complaint
next date of posting not shown,Administrative,P2 - Medium,Update Info
Urgent: Pending Approval of Filed Documents in Second Appeal No. 4/2025 (Filing Ref. No. 100003671092),Administrative,P2 - Medium,Scrutiny Delay
Cant able to select the commsion proeprly,Information Only,P3 - Low,Information
Application pending for scrutiny since 22 days,Administrative,P2 - Medium,Scrutiny Delay
Delete pending for scrutiny bearing Reference no. 202601170953 and 202508191663,Administrative,P2 - Medium,Scrutiny Delay
The case for Reference number 202506121499 is not yet registered,Information Only,P3 - Low,Information
Opposite Party2 Advocate name is not reflecting/ Not able to Add,Service Request,P2 - Medium,Update Info
Refund of E Payment done by twice a time from different transatation,Incident,P3 - Low,Complaint
Complaint Regarding Suspected Tampering of Milk Packet Delivered via Zepto,Information Only,P3 - Low,Information
Complaint Regarding Unresolved PNB Credit Card Fraud Issue,Incident,P3 - Low,Complaint
20260121000001 - this is first ticket i raised. the status is still new.,Administrative,P2 - Medium,Scrutiny Delay
Opposite party filings not available in EJagriti,Administrative,P2 - Medium,Update Info
Evidence by way of affidavit in behalf of complainant,Incident,P3 - Low,Complaint
I had been charged more than what was promised at the time of booking,Incident,P3 - Low,Complaint
"Complaint for Refund of ?10,000 Against Fraudulent Practices by Cincos Placement Services",Incident,P3 - Low,Complaint
Movie screening time is delayed,Incident,P3 - Low,Complaint
I see 2 draft cases that are invalid,Information Only,P3 - Low,Information
filed a case on 29.05.2025 still pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Complaint regarding iPhone Activation Lock issue – No resolution from Apple - Humilated by Apple India,Incident,P3 - Low,Complaint
Cheating by OLA electric,Incident,P3 - Low,Complaint
Complaint regarding defective Maharaja Whiteline Induction Cooktop (Model Superion 14DX Neo) – Deficiency in Service & Request for Refund/Compensation,Incident,P3 - Low,Complaint
regarding delay in complaint - Scrutiny.,Administrative,P2 - Medium,Scrutiny Delay
“Delay in Scrutiny of Consumer Complaint filed on 06 March 2026,Administrative,P2 - Medium,Scrutiny Delay
Payment deducted,Incident,P3 - Low,Complaint
NOT ABLE TO SEE MY CASE ON DASHBOARD,Bug,P1 - High,Fix
Wrong Complainant Name mention,Service Request,P2 - Medium,Update Info
trouble while Revision Petiton,Administrative,P2 - Medium,Old Details Missing
Urgent Pending Ticket Reference Number 202511030033 No Action for 3 Months,Administrative,P2 - Medium,Scrutiny Delay
Regarding Return of a Counterfeit Product,Incident,P3 - Low,Complaint
Restore UPDATE CASE Option — Case Ref. 202602270054,Information Only,P3 - Low,Information
My online filed Consumer Petition Reference Id- 202501200056 is pending for scrutiny from the last one year.,Administrative,P2 - Medium,Scrutiny Delay
Old complaint not resolved – Request urgent action,Information Only,P3 - Low,Information
Delay in Scrutiny of Consumer Complaint – Diary No. 202507190545,Administrative,P2 - Medium,Scrutiny Delay
Judgement not uploaded,Administrative,P1 - High,Upload / Document Issues
Failure of delivery of ordered products,Information Only,P3 - Low,Information
Request for Early Scrutiny – Filing Reference No. 202512290044,Administrative,P2 - Medium,Scrutiny Delay
Unauthroised reovmal of Bank Authorisation from Central Bank of India,Information Only,P3 - Low,Information
Complaint against Swiggy (Bundl Technologies Pvt. Ltd.) regarding illegal deduction of ?1129 without generating Order or Invoice (Txn ID: 221843272326) and refusal to refund.,Incident,P3 - Low,Complaint
"cannot find next date in case no, DC/551/CC/61/2025",Information Only,P3 - Low,Information
Regarding Unable to receive amount after case decision.,Information Only,P3 - Low,Information
change email id,Service Request,P2 - Medium,Update Info
Issue Regarding Non-Visibility of Submitted Condonation of Delay File (Ref: 202512231455 with 202512231616),Information Only,P3 - Low,Information
Non-refund of booking amount despite failure to provide car service by Zoomcar (Booking ID: JPSNKBGIE),Incident,P3 - Low,Complaint
how to appear in virtual mode,Information Only,P3 - Low,Information
Request for Case Status Update – DC/144/CC/230/2026,Administrative,P2 - Medium,Scrutiny Delay
Not showing state consumer disputes cases,Bug,P1 - High,Fix
the appellant didn't get any revert in Reference no: 202603150576,Administrative,P2 - Medium,Administrative
NO SOLUTION TO MY INGRAM COMPLAINT NO 8484424 DT 8-1-2026,Information Only,P3 - Low,Information
Acknowledgment for filed Written statements not generated,Information Only,P3 - Low,Information
Kindly mention correct name of complainant --- Sunny Arora,Information Only,P3 - Low,Information
how to change name in profile,Service Request,P2 - Medium,Update Info
"“That the complainant purchased a refrigerator from Flipkart, however the product supplied was of inferior quality and not as per reasonable expectations. The return request was arbitrarily rejected, causing mental agony and financial loss…”",Information Only,P3 - Low,Information
Notice issue ke liye peshkaar madam ne mujhse meri file ke 2 set aur 2 envelop le liye aur 1000 maang rahi hain notice issue ke liye agar main 1000 rupe nahi doonga to notice issue nahi hoga,Information Only,P3 - Low,Information
not generating reference number,Bug,P1 - High,Fix
Not proceeding- Under Scrutiny,Administrative,P2 - Medium,Scrutiny Delay
My claim is pending since 6 months,Administrative,P2 - Medium,Scrutiny Delay
REVISION PETITION UNDER SECTION 58(1) not filing,Information Only,P3 - Low,Information
Case Not Appearing - Dashboard,Bug,P1 - High,Fix
Regarding Data Correction in reference number 202603140142,Service Request,P2 - Medium,Update Info
Paytm marchant Sound box issue,Incident,P3 - Low,Complaint
Filing reference no. is not being generated,Bug,P1 - High,Fix
Subject: Intimation – Fresh Notice Issued (Case No. DC/144/CC/49/2026),Information Only,P3 - Low,Information
Regarding case automatically transfered from reverted to pending for scrutiny,Administrative,P2 - Medium,Scrutiny Delay
Request for Correction – Complaint 202603210239,Information Only,P3 - Low,Information
REAL ESTATE ISSUE,Incident,P3 - Low,Complaint
Not delivering product --- Wakefit,Information Only,P3 - Low,Information
Selection of Parties,Information Only,P3 - Low,Information
URGENT — Request for Urgent Scrutiny and Admission of Consumer Complaint - Pending for Scrutiny Since Aug 2025,Administrative,P2 - Medium,Scrutiny Delay
